unique_id,project_subtype,project_subtype_two,archive_filename,start_date,estimated_completion_date,actual_completion_date,estimated_duration,actual_duration,fiscal_year,estimated_cost,estimated_cost_nocontingency,final_cost,cost_pct0,schedule_pct0,expenditure_pct0,cost_pct10,schedule_pct10,expenditure_pct10,cost_pct20,schedule_pct20,expenditure_pct20,cost_pct30,schedule_pct30,expenditure_pct30,cost_pct40,schedule_pct40,expenditure_pct40,cost_pct50,schedule_pct50,expenditure_pct50,cost_pct60,schedule_pct60,expenditure_pct60,cost_pct70,schedule_pct70,expenditure_pct70,cost_pct80,schedule_pct80,expenditure_pct80,cost_pct90,schedule_pct90,expenditure_pct90
1378_marine resource and recovery center,General buildings,Marine resource centre,"MilCon Status Report - January, 2013.xlsx",2009-10-07,2011-10-30,2013-03-15,753 days,1255 days,2009.0,16106000.0,15339047.61904762,17942000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1691077859182912,1.6666666666666667,0.9994983836807491
"138_bachelor enlisted quarters , wallace creek",General buildings,Barracks,"MilCon Status Report - January, 2013.xlsx",2012-07-13,2014-07-29,2014-08-30,746 days,778 days,2012.0,26101000.0,24858095.23809524,26044000.0,0.9876058388567488,1.0428954423592494,0.942635539855629,0.9895367993563464,1.0428954423592494,0.9444785747197051,0.9950078541052066,1.0428954423592494,0.9497005068345876,0.9962951611049384,1.0428954423592494,0.9509291967439717,1.0060304202904102,1.0428954423592494,0.9602211641836892,1.0085648059461323,1.0428954423592494,0.9626401474427891,1.026546875598636,1.0428954423592494,0.9798034096144985,1.0271100724110187,1.0428954423592494,0.980340961449854,1.0461380790008046,1.0428954423592494,0.9985025341729381,1.0477069844067277,1.0428954423592494,1.0
1382_new base entry point and road phase 1,Road,Road,"MilCon Status Report - January, 2013.xlsx",2010-07-26,2013-01-10,2014-05-06,899 days,1380 days,2010.0,64692000.0,61611428.57142857,77731000.0,,,,,,,,,,,,,,,,,,,1.082704971248377,1.389321468298109,0.8581775610760186,1.1107354850677056,1.4505005561735262,0.880395209118627,1.1532762938230385,1.4482758620689655,0.9141140600275308,1.2616328139491746,1.685205784204672,1.0
140_special communications requirements engineering facility,General buildings,Engineering/equipment maintenance facility,"MilCon Status Report - January, 2013.xlsx",2011-08-22,2013-01-23,2013-12-10,520 days,841 days,2010.0,11304000.0,10765714.28571428,11680000.0,,,,,,,,,,1.0421045647558391,1.3269230769230769,0.9605308219178083,,,,1.0609607218683657,1.3269230769230769,0.9779109589041096,1.062539808917198,1.3269230769230769,0.9793664383561644,1.063840233545648,1.3269230769230769,0.9805650684931507,1.0643046709129518,1.4576923076923076,0.9809931506849315,1.084925690021232,1.6173076923076923,1.0
1400_marine corps energy initiative,,,"MilCon Status Report - January, 2013.xlsx",2011-06-14,2012-09-27,2012-12-31,471 days,566 days,2011.0,8868000.0,8445714.285714285,8186000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9646312584573749,1.2016985138004246,0.9952357683850477
141_ems/fire vehicle facility,Vehicle depot/maintenance,,"MilCon Status Report - January, 2013.xlsx",2010-04-14,2011-10-22,2012-03-18,556 days,704 days,2010.0,6459000.0,6151428.571428571,6190000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.006270320483047,1.2661870503597121,1.0
"1411_install window shutters ph iii and iv , lockwood terrace",Military site infrastructure,Window shutters,"MilCon Status Report - January, 2013.xlsx",2010-03-31,2010-08-24,2010-08-24,146 days,146 days,2010.0,1810000.0,1723809.523809524,1669000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9682044198895027,1.0,1.0
"143_construct roads, north mainside",Road,Road,"MilCon Status Report - January, 2013.xlsx",2010-06-17,2012-03-28,2013-02-15,650 days,974 days,2010.0,22236000.0,21177142.85714285,20812000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98228548300054,1.4984615384615385,0.9995195079761676
146_industrial waste water improvements,Water,Wastewater treatment,"MilCon Status Report - January, 2013.xlsx",2010-06-17,2012-03-28,2013-02-15,650 days,974 days,2010.0,1994000.0,1899047.619047619,3567000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8783099297893682,1.4984615384615385,1.0
146_ordnance magazines,Storage igloo,,"MilCon Status Report - January, 2013.xlsx",2010-12-30,2012-07-10,2013-11-04,558 days,1040 days,2010.0,3700000.0,3523809.523809524,3401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9651486486486487,1.863799283154122,1.0
148_missile magazine,Storage igloo,,"MilCon Status Report - January, 2013.xlsx",2011-06-16,2012-07-10,2013-11-04,390 days,872 days,2011.0,4779000.0,4551428.571428571,4779000.0,,,,,,,,,,,,,,,,,,,1.05,1.6205128205128205,1.0,1.05,2.0615384615384613,1.0,,,,1.05,2.235897435897436,1.0
149V_crystal park 5 to arlington service center,Relocation,,"MilCon Status Report - January, 2013.xlsx",2010-10-01,2011-08-01,2012-07-09,304 days,647 days,2010.0,7275000.0,6928571.428571428,10058000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4516701030927837,2.1282894736842106,1.0
150A_helicopter hgrs & mag hq (major constructionructionguire afb) 2 of 2,Flight facility,,"MilCon Status Report - March, 2013.xlsx",2008-08-20,2010-10-30,2011-10-30,801 days,1166 days,2009.0,41481000.0,39505714.28571428,41564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0521009618861648,1.4556803995006242,1.0
150A_helicopter hgrs & mag hq (mcguire afb) 2 of 2,Flight facility,,"MilCon Status Report - January, 2013.xlsx",2008-08-20,2010-10-30,2011-10-30,801 days,1166 days,2009.0,41481000.0,39505714.28571428,41564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0521009618861648,1.4556803995006242,1.0
